Dataset | March Current Population Survey | Cross-sectional representative sample of more than 50,000 U.S. civilian households containing detailed questions about household composition and sources of income. | [('Cross-sectional', 'JJ'), ('representative', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('50,000', 'CD'), ('U.S.', 'NNP'), ('civilian', 'JJ'), ('households', 'NNS'), ('containing', 'VBG'), ('detailed', 'JJ'), ('questions', 'NNS'), ('about', 'IN'), ('household', 'NN'), ('composition', 'NN'), ('and', 'CC'), ('sources', 'NNS'), ('of', 'IN'), ('income', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …researchers used monthly data for total hours worked in the last week of every month, weekly earnings before deductions, and earnings weights by educational attainment. | [('…researchers', 'NNS'), ('used', 'VBN'), ('monthly', 'RB'), ('data', 'NNS'), ('for', 'IN'), ('total', 'JJ'), ('hours', 'NNS'), ('worked', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('week', 'NN'), ('of', 'IN'), ('every', 'DT'), ('month', 'NN'), (',', ','), ('weekly', 'JJ'), ('earnings', 'NNS'), ('before', 'IN'), ('deductions', 'NNS'), (',', ','), ('and', 'CC'), ('earnings', 'NNS'), ('weights', 'NNS'), ('by', 'IN'), ('educational', 'JJ'), ('attainment', 'NN'), ('.', '.')]
Dataset | Bank of Mexico | …researchers choose to use data on apprehensions (arrests) at the U.S.-Mexico border and remittances from the United States to Mexico in real pesos to evaluate the model, but do not include these series in the structural estimation, for several reasons: first, the apprehensions series is noisy due to the random nature of border arrests; second, is an identification problem regarding the effect of border enforcement on apprehensions; third, remittances are not included in the structural estimation, given the short length of this series (available only since 1995:Q1. | [('…researchers', 'NNS'), ('choose', 'VBP'), ('to', 'TO'), ('use', 'VB'), ('data', 'NNS'), ('on', 'IN'), ('apprehensions', 'NNS'), ('(', '('), ('arrests', 'NNS'), (')', ')'), ('at', 'IN'), ('the', 'DT'), ('U.S.-Mexico', 'NNP'), ('border', 'NN'), ('and', 'CC'), ('remittances', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('to', 'TO'), ('Mexico', 'NNP'), ('in', 'IN'), ('real', 'JJ'), ('pesos', 'NN'), ('to', 'TO'), ('evaluate', 'VB'), ('the', 'DT'), ('model', 'NN'), (',', ','), ('but', 'CC'), ('do', 'VBP'), ('not', 'RB'), ('include', 'VB'), ('these', 'DT'), ('series', 'NN'), ('in', 'IN'), ('the', 'DT'), ('structural', 'JJ'), ('estimation', 'NN'), (',', ','), ('for', 'IN'), ('several', 'JJ'), ('reasons', 'NNS'), (':', ':'), ('first', 'RB'), (',', ','), ('the', 'DT'), ('apprehensions', 'NNS'), ('series', 'NN'), ('is', 'VBZ'), ('noisy', 'JJ'), ('due', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('random', 'JJ'), ('nature', 'NN'), ('of', 'IN'), ('border', 'NN'), ('arrests', 'NNS'), (';', ':'), ('second', 'JJ'), (',', ','), ('is', 'VBZ'), ('an', 'DT'), ('identification', 'NN'), ('problem', 'NN'), ('regarding', 'VBG'), ('the', 'DT'), ('effect', 'NN'), ('of', 'IN'), ('border', 'NN'), ('enforcement', 'NN'), ('on', 'IN'), ('apprehensions', 'NNS'), (';', ':'), ('third', 'JJ'), (',', ','), ('remittances', 'NNS'), ('are', 'VBP'), ('not', 'RB'), ('included', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('structural', 'JJ'), ('estimation', 'NN'), (',', ','), ('given', 'VBN'), ('the', 'DT'), ('short', 'JJ'), ('length', 'NN'), ('of', 'IN'), ('this', 'DT'), ('series', 'NN'), ('(', '('), ('available', 'JJ'), ('only', 'RB'), ('since', 'IN'), ('1995', 'CD'), (':', ':'), ('Q1', 'NN'), ('.', '.')]
Dataset | U.S. Immigration and Naturalization Service | …researchers choose to use data on apprehensions (arrests) at the U.S.-Mexico border and remittances from the United States to Mexico in real pesos to evaluate the model, but do not include these series in the structural estimation, for several reasons: first, the apprehensions series is noisy due to the random nature of border arrests; second, is an identification problem regarding the effect of border enforcement on apprehensions; third, remittances are not included in the structural estimation, given the short length of this series (available only since 1995:Q1. | [('…researchers', 'NNS'), ('choose', 'VBP'), ('to', 'TO'), ('use', 'VB'), ('data', 'NNS'), ('on', 'IN'), ('apprehensions', 'NNS'), ('(', '('), ('arrests', 'NNS'), (')', ')'), ('at', 'IN'), ('the', 'DT'), ('U.S.-Mexico', 'NNP'), ('border', 'NN'), ('and', 'CC'), ('remittances', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('to', 'TO'), ('Mexico', 'NNP'), ('in', 'IN'), ('real', 'JJ'), ('pesos', 'NN'), ('to', 'TO'), ('evaluate', 'VB'), ('the', 'DT'), ('model', 'NN'), (',', ','), ('but', 'CC'), ('do', 'VBP'), ('not', 'RB'), ('include', 'VB'), ('these', 'DT'), ('series', 'NN'), ('in', 'IN'), ('the', 'DT'), ('structural', 'JJ'), ('estimation', 'NN'), (',', ','), ('for', 'IN'), ('several', 'JJ'), ('reasons', 'NNS'), (':', ':'), ('first', 'RB'), (',', ','), ('the', 'DT'), ('apprehensions', 'NNS'), ('series', 'NN'), ('is', 'VBZ'), ('noisy', 'JJ'), ('due', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('random', 'JJ'), ('nature', 'NN'), ('of', 'IN'), ('border', 'NN'), ('arrests', 'NNS'), (';', ':'), ('second', 'JJ'), (',', ','), ('is', 'VBZ'), ('an', 'DT'), ('identification', 'NN'), ('problem', 'NN'), ('regarding', 'VBG'), ('the', 'DT'), ('effect', 'NN'), ('of', 'IN'), ('border', 'NN'), ('enforcement', 'NN'), ('on', 'IN'), ('apprehensions', 'NNS'), (';', ':'), ('third', 'JJ'), (',', ','), ('remittances', 'NNS'), ('are', 'VBP'), ('not', 'RB'), ('included', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('structural', 'JJ'), ('estimation', 'NN'), (',', ','), ('given', 'VBN'), ('the', 'DT'), ('short', 'JJ'), ('length', 'NN'), ('of', 'IN'), ('this', 'DT'), ('series', 'NN'), ('(', '('), ('available', 'JJ'), ('only', 'RB'), ('since', 'IN'), ('1995', 'CD'), (':', ':'), ('Q1', 'NN'), ('.', '.')]
Dataset | U.S. Immigration and Naturalization Service | …relevant figures in this data set include "border linewatch apprehensions" and "border linewatch enforcement hours". | [('…relevant', 'JJ'), ('figures', 'NNS'), ('in', 'IN'), ('this', 'DT'), ('data', 'NN'), ('set', 'NN'), ('include', 'VBP'), ('``', '``'), ('border', 'JJ'), ('linewatch', 'NN'), ('apprehensions', 'NNS'), ("''", "''"), ('and', 'CC'), ('``', '``'), ('border', 'NN'), ('linewatch', 'NN'), ('enforcement', 'NN'), ('hours', 'NNS'), ("''", "''"), ('.', '.')]
Dataset | Bureau of Economic Analysis | …macroeconomic data on real output, consumption and investment is provided, for the United States, by the Bureau of Economic Analysis. | [('…macroeconomic', 'JJ'), ('data', 'NNS'), ('on', 'IN'), ('real', 'JJ'), ('output', 'NN'), (',', ','), ('consumption', 'NN'), ('and', 'CC'), ('investment', 'NN'), ('is', 'VBZ'), ('provided', 'VBN'), (',', ','), ('for', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), (',', ','), ('by', 'IN'), ('the', 'DT'), ('Bureau', 'NNP'), ('of', 'IN'), ('Economic', 'NNP'), ('Analysis', 'NNP'), ('.', '.')]
Dataset | INEGI | …macroeconomic data on real output, consumption and investment is provided, for Mexico, by the INEGI through Haver Analytics. | [('…macroeconomic', 'JJ'), ('data', 'NNS'), ('on', 'IN'), ('real', 'JJ'), ('output', 'NN'), (',', ','), ('consumption', 'NN'), ('and', 'CC'), ('investment', 'NN'), ('is', 'VBZ'), ('provided', 'VBN'), (',', ','), ('for', 'IN'), ('Mexico', 'NNP'), (',', ','), ('by', 'IN'), ('the', 'DT'), ('INEGI', 'NNP'), ('through', 'IN'), ('Haver', 'NNP'), ('Analytics', 'NNP'), ('.', '.')]
Dataset | Current Population Survey | …data used to compute the United States skill premium. | [('…data', 'NNS'), ('used', 'VBN'), ('to', 'TO'), ('compute', 'VB'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('skill', 'NN'), ('premium', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …data used to compute the elasticitiy of remittances to the U.S.-Mexico unskilled wage gap using real hourly wage information for United States unskilled workers and Mexico's maquiladora workers. | [('…data', 'NNS'), ('used', 'VBN'), ('to', 'TO'), ('compute', 'VB'), ('the', 'DT'), ('elasticitiy', 'NN'), ('of', 'IN'), ('remittances', 'NNS'), ('to', 'TO'), ('the', 'DT'), ('U.S.-Mexico', 'NNP'), ('unskilled', 'JJ'), ('wage', 'NN'), ('gap', 'NN'), ('using', 'VBG'), ('real', 'JJ'), ('hourly', 'JJ'), ('wage', 'NN'), ('information', 'NN'), ('for', 'IN'), ('United', 'NNP'), ('States', 'NNPS'), ('unskilled', 'JJ'), ('workers', 'NNS'), ('and', 'CC'), ('Mexico', 'NNP'), ("'s", 'POS'), ('maquiladora', 'JJ'), ('workers', 'NNS'), ('.', '.')]
Dataset | INEGI | …data used to compute the elasticitiy of remittances to the U.S.-Mexico unskilled wage gap using real hourly wage information for United States unskilled workers and Mexico's maquiladora workers. | [('…data', 'NNS'), ('used', 'VBN'), ('to', 'TO'), ('compute', 'VB'), ('the', 'DT'), ('elasticitiy', 'NN'), ('of', 'IN'), ('remittances', 'NNS'), ('to', 'TO'), ('the', 'DT'), ('U.S.-Mexico', 'NNP'), ('unskilled', 'JJ'), ('wage', 'NN'), ('gap', 'NN'), ('using', 'VBG'), ('real', 'JJ'), ('hourly', 'JJ'), ('wage', 'NN'), ('information', 'NN'), ('for', 'IN'), ('United', 'NNP'), ('States', 'NNPS'), ('unskilled', 'JJ'), ('workers', 'NNS'), ('and', 'CC'), ('Mexico', 'NNP'), ("'s", 'POS'), ('maquiladora', 'JJ'), ('workers', 'NNS'), ('.', '.')]
Dataset | Bank of Mexico | …data on workers' remittances in nominal United States dollars is provided by the Bank of Mexico through Haver Analytics. | [('…data', 'NNS'), ('on', 'IN'), ('workers', 'NNS'), ("'", 'POS'), ('remittances', 'NNS'), ('in', 'IN'), ('nominal', 'JJ'), ('United', 'NNP'), ('States', 'NNPS'), ('dollars', 'NNS'), ('is', 'VBZ'), ('provided', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('Bank', 'NNP'), ('of', 'IN'), ('Mexico', 'NNP'), ('through', 'IN'), ('Haver', 'NNP'), ('Analytics', 'NNP'), ('.', '.')]
Dataset | INEGI | …data on hours worked and hourly wages for Mexico's maquiladora sector (in nominal pesos) is provided by INEGI; the hourly wage in nominal pesos is computed using the monthly series on total remunerations, total number of workers, and hours per work. | [('…data', 'NNS'), ('on', 'IN'), ('hours', 'NNS'), ('worked', 'VBN'), ('and', 'CC'), ('hourly', 'JJ'), ('wages', 'NNS'), ('for', 'IN'), ('Mexico', 'NNP'), ("'s", 'POS'), ('maquiladora', 'NN'), ('sector', 'NN'), ('(', '('), ('in', 'IN'), ('nominal', 'JJ'), ('pesos', 'NN'), (')', ')'), ('is', 'VBZ'), ('provided', 'VBN'), ('by', 'IN'), ('INEGI', 'NNP'), (';', ':'), ('the', 'DT'), ('hourly', 'JJ'), ('wage', 'NN'), ('in', 'IN'), ('nominal', 'JJ'), ('pesos', 'NN'), ('is', 'VBZ'), ('computed', 'VBN'), ('using', 'VBG'), ('the', 'DT'), ('monthly', 'JJ'), ('series', 'NN'), ('on', 'IN'), ('total', 'JJ'), ('remunerations', 'NNS'), (',', ','), ('total', 'JJ'), ('number', 'NN'), ('of', 'IN'), ('workers', 'NNS'), (',', ','), ('and', 'CC'), ('hours', 'NNS'), ('per', 'IN'), ('work', 'NN'), ('.', '.')]
Dataset | U.S. Immigration and Naturalization Service | …data on apprehensions at the U.S. Mexico border and the number of hours spent by the U.S. Border Patrol on policing the border is provided by the U.S. Immigration and Naturalization Service, and made available on Gordon Hanson's website. | [('…data', 'NNS'), ('on', 'IN'), ('apprehensions', 'NNS'), ('at', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), ('Mexico', 'NNP'), ('border', 'NN'), ('and', 'CC'), ('the', 'DT'), ('number', 'NN'), ('of', 'IN'), ('hours', 'NNS'), ('spent', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), ('Border', 'NNP'), ('Patrol', 'NNP'), ('on', 'IN'), ('policing', 'VBG'), ('the', 'DT'), ('border', 'NN'), ('is', 'VBZ'), ('provided', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), ('Immigration', 'NNP'), ('and', 'CC'), ('Naturalization', 'NNP'), ('Service', 'NNP'), (',', ','), ('and', 'CC'), ('made', 'VBD'), ('available', 'JJ'), ('on', 'IN'), ('Gordon', 'NNP'), ('Hanson', 'NNP'), ("'s", 'POS'), ('website', 'NN'), ('.', '.')]
Dataset | Survey of Manufacturing Technology | …the technologies studied in the present paper are not computer, but this types of automation machinery introduced into manufacturing in the past few decades and covered by the 1988 and 1993 Surveys of Manufacturing Technology (SMT) used in this study. | [('…the', 'NN'), ('technologies', 'NNS'), ('studied', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('present', 'JJ'), ('paper', 'NN'), ('are', 'VBP'), ('not', 'RB'), ('computer', 'NN'), (',', ','), ('but', 'CC'), ('this', 'DT'), ('types', 'NNS'), ('of', 'IN'), ('automation', 'NN'), ('machinery', 'NN'), ('introduced', 'VBD'), ('into', 'IN'), ('manufacturing', 'NN'), ('in', 'IN'), ('the', 'DT'), ('past', 'JJ'), ('few', 'JJ'), ('decades', 'NNS'), ('and', 'CC'), ('covered', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('1988', 'CD'), ('and', 'CC'), ('1993', 'CD'), ('Surveys', 'NNP'), ('of', 'IN'), ('Manufacturing', 'NNP'), ('Technology', 'NNP'), ('(', '('), ('SMT', 'NNP'), (')', ')'), ('used', 'VBD'), ('in', 'IN'), ('this', 'DT'), ('study', 'NN'), ('.', '.')]
Dataset | Survey of Manufacturing Technology | …this data covers SIC industries 34 through 38, which covers equipment and fabricated metal products. | [('…this', 'NN'), ('data', 'NNS'), ('covers', 'NNS'), ('SIC', 'NNP'), ('industries', 'NNS'), ('34', 'CD'), ('through', 'IN'), ('38', 'CD'), (',', ','), ('which', 'WDT'), ('covers', 'VBZ'), ('equipment', 'NN'), ('and', 'CC'), ('fabricated', 'VBN'), ('metal', 'NN'), ('products', 'NNS'), ('.', '.')]
Dataset | Current Population Survey | …the SMT technology data is combined with metropolitan area-level labor force data aggregated from the Current Population Surveys. | [('…the', 'JJ'), ('SMT', 'NNP'), ('technology', 'NN'), ('data', 'NNS'), ('is', 'VBZ'), ('combined', 'VBN'), ('with', 'IN'), ('metropolitan', 'JJ'), ('area-level', 'JJ'), ('labor', 'NN'), ('force', 'NN'), ('data', 'NNS'), ('aggregated', 'VBD'), ('from', 'IN'), ('the', 'DT'), ('Current', 'NNP'), ('Population', 'NNP'), ('Surveys', 'NNP'), ('.', '.')]
Dataset | Censuses of Population | …the SMT technology data is combined with metropolitan area-level labor force data aggregated from the Censuses of Population. | [('…the', 'JJ'), ('SMT', 'NNP'), ('technology', 'NN'), ('data', 'NNS'), ('is', 'VBZ'), ('combined', 'VBN'), ('with', 'IN'), ('metropolitan', 'JJ'), ('area-level', 'JJ'), ('labor', 'NN'), ('force', 'NN'), ('data', 'NNS'), ('aggregated', 'VBD'), ('from', 'IN'), ('the', 'DT'), ('Censuses', 'NNP'), ('of', 'IN'), ('Population', 'NNP'), ('.', '.')]
Dataset | Census of Manufactures | …the author uses a broader sample of manufacturing plants from the Census of Manufactures in the analysis portion of this research. | [('…the', 'NN'), ('author', 'NN'), ('uses', 'VBZ'), ('a', 'DT'), ('broader', 'JJR'), ('sample', 'NN'), ('of', 'IN'), ('manufacturing', 'VBG'), ('plants', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('Census', 'NNP'), ('of', 'IN'), ('Manufactures', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('analysis', 'NN'), ('portion', 'NN'), ('of', 'IN'), ('this', 'DT'), ('research', 'NN'), ('.', '.')]
Dataset | Survey of Manufacturing Technology | …the primary measures of automation come from restricted-access microdata versions of the 1988 and 1993 Surveys of Manufacturing Technology (SMT). | [('…the', 'JJ'), ('primary', 'JJ'), ('measures', 'NNS'), ('of', 'IN'), ('automation', 'NN'), ('come', 'VBN'), ('from', 'IN'), ('restricted-access', 'JJ'), ('microdata', 'NNS'), ('versions', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('1988', 'CD'), ('and', 'CC'), ('1993', 'CD'), ('Surveys', 'NNP'), ('of', 'IN'), ('Manufacturing', 'NNP'), ('Technology', 'NNP'), ('(', '('), ('SMT', 'NNP'), (')', ')'), ('.', '.')]
Dataset | Census of Manufactures | …measures of automation are supplemented with information from the 1987 and 1992 Censuses of Manufactures. | [('…measures', 'NNS'), ('of', 'IN'), ('automation', 'NN'), ('are', 'VBP'), ('supplemented', 'VBN'), ('with', 'IN'), ('information', 'NN'), ('from', 'IN'), ('the', 'DT'), ('1987', 'CD'), ('and', 'CC'), ('1992', 'CD'), ('Censuses', 'NNS'), ('of', 'IN'), ('Manufactures', 'NNS'), ('.', '.')]
Dataset | Survey of Manufacturing Technology | …each SMT polled a stratified random sample of around 10,000 manufacturing establishments with at least twenty employees in SIC industries 34 through 38 on the use of, plans for use of, reasons for use of (or not for using) seventeen categories of advanced manufacturing technologies. These technologies include processes used both in production and non-production activities, but most of the technologies are for use on the shop floor. Many also appear to replace raw labor, such as automated inspection (alternatively handled by semiskilled "production inspectors"), automated materials handling, and robots. | [('…each', 'NN'), ('SMT', 'NNP'), ('polled', 'VBD'), ('a', 'DT'), ('stratified', 'JJ'), ('random', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('around', 'IN'), ('10,000', 'CD'), ('manufacturing', 'NN'), ('establishments', 'NNS'), ('with', 'IN'), ('at', 'IN'), ('least', 'JJS'), ('twenty', 'JJ'), ('employees', 'NNS'), ('in', 'IN'), ('SIC', 'NNP'), ('industries', 'NNS'), ('34', 'CD'), ('through', 'IN'), ('38', 'CD'), ('on', 'IN'), ('the', 'DT'), ('use', 'NN'), ('of', 'IN'), (',', ','), ('plans', 'NNS'), ('for', 'IN'), ('use', 'NN'), ('of', 'IN'), (',', ','), ('reasons', 'NNS'), ('for', 'IN'), ('use', 'NN'), ('of', 'IN'), ('(', '('), ('or', 'CC'), ('not', 'RB'), ('for', 'IN'), ('using', 'VBG'), (')', ')'), ('seventeen', 'JJ'), ('categories', 'NNS'), ('of', 'IN'), ('advanced', 'JJ'), ('manufacturing', 'NN'), ('technologies', 'NNS'), ('.', '.'), ('These', 'DT'), ('technologies', 'NNS'), ('include', 'VBP'), ('processes', 'NNS'), ('used', 'VBN'), ('both', 'DT'), ('in', 'IN'), ('production', 'NN'), ('and', 'CC'), ('non-production', 'NN'), ('activities', 'NNS'), (',', ','), ('but', 'CC'), ('most', 'JJS'), ('of', 'IN'), ('the', 'DT'), ('technologies', 'NNS'), ('are', 'VBP'), ('for', 'IN'), ('use', 'NN'), ('on', 'IN'), ('the', 'DT'), ('shop', 'NN'), ('floor', 'NN'), ('.', '.'), ('Many', 'NNP'), ('also', 'RB'), ('appear', 'VBP'), ('to', 'TO'), ('replace', 'VB'), ('raw', 'JJ'), ('labor', 'NN'), (',', ','), ('such', 'JJ'), ('as', 'IN'), ('automated', 'JJ'), ('inspection', 'NN'), ('(', '('), ('alternatively', 'RB'), ('handled', 'VBN'), ('by', 'IN'), ('semiskilled', 'JJ'), ('``', '``'), ('production', 'NN'), ('inspectors', 'NNS'), ("''", "''"), (')', ')'), (',', ','), ('automated', 'JJ'), ('materials', 'NNS'), ('handling', 'VBG'), (',', ','), ('and', 'CC'), ('robots', 'NNS'), ('.', '.')]
Dataset | Survey of Manufacturing Technology | …the industries covered by the SMT represent 43% of the manufacturing sector (value added or employment) in 1987. | [('…the', 'NN'), ('industries', 'NNS'), ('covered', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('SMT', 'NNP'), ('represent', 'VBP'), ('43', 'CD'), ('%', 'NN'), ('of', 'IN'), ('the', 'DT'), ('manufacturing', 'NN'), ('sector', 'NN'), ('(', '('), ('value', 'NN'), ('added', 'VBD'), ('or', 'CC'), ('employment', 'NN'), (')', ')'), ('in', 'IN'), ('1987', 'CD'), ('.', '.')]
Dataset | Survey of Manufacturing Technology | …though the SMT was a random sample, it was also a small sample, so some areas could be over- or underrepresented by chance. | [('…though', 'IN'), ('the', 'DT'), ('SMT', 'NNP'), ('was', 'VBD'), ('a', 'DT'), ('random', 'JJ'), ('sample', 'NN'), (',', ','), ('it', 'PRP'), ('was', 'VBD'), ('also', 'RB'), ('a', 'DT'), ('small', 'JJ'), ('sample', 'NN'), (',', ','), ('so', 'IN'), ('some', 'DT'), ('areas', 'NNS'), ('could', 'MD'), ('be', 'VB'), ('over-', 'JJ'), ('or', 'CC'), ('underrepresented', 'VBN'), ('by', 'IN'), ('chance', 'NN'), ('.', '.')]
Dataset | Survey of Manufacturing Technology | …a report prepared for the Census Bureau that compared employment and plant counts in the SMT sample to the Census of Manufactures showed that the data were close to geographically representative, with some minor exceptions, such as there being "too few" California plants in the 1988 SMT data. | [('…a', 'JJ'), ('report', 'NN'), ('prepared', 'VBD'), ('for', 'IN'), ('the', 'DT'), ('Census', 'NNP'), ('Bureau', 'NNP'), ('that', 'IN'), ('compared', 'VBN'), ('employment', 'NN'), ('and', 'CC'), ('plant', 'NN'), ('counts', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('SMT', 'NNP'), ('sample', 'NN'), ('to', 'TO'), ('the', 'DT'), ('Census', 'NNP'), ('of', 'IN'), ('Manufactures', 'NNP'), ('showed', 'VBD'), ('that', 'IN'), ('the', 'DT'), ('data', 'NNS'), ('were', 'VBD'), ('close', 'JJ'), ('to', 'TO'), ('geographically', 'RB'), ('representative', 'VB'), (',', ','), ('with', 'IN'), ('some', 'DT'), ('minor', 'JJ'), ('exceptions', 'NNS'), (',', ','), ('such', 'JJ'), ('as', 'IN'), ('there', 'EX'), ('being', 'VBG'), ('``', '``'), ('too', 'RB'), ('few', 'JJ'), ("''", "''"), ('California', 'NNP'), ('plants', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('1988', 'CD'), ('SMT', 'NNP'), ('data', 'NNS'), ('.', '.')]
Dataset | Survey of Manufacturing Technology | …the author assumes, as the Census Bureau did throughout most of the reports they published on the results of the SMT that non-response to any technology use question indicates that the plant is not using that technology. | [('…the', 'NN'), ('author', 'NN'), ('assumes', 'RB'), (',', ','), ('as', 'IN'), ('the', 'DT'), ('Census', 'NNP'), ('Bureau', 'NNP'), ('did', 'VBD'), ('throughout', 'IN'), ('most', 'JJS'), ('of', 'IN'), ('the', 'DT'), ('reports', 'NNS'), ('they', 'PRP'), ('published', 'VBD'), ('on', 'IN'), ('the', 'DT'), ('results', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('SMT', 'NNP'), ('that', 'IN'), ('non-response', 'JJ'), ('to', 'TO'), ('any', 'DT'), ('technology', 'NN'), ('use', 'NN'), ('question', 'NN'), ('indicates', 'VBZ'), ('that', 'IN'), ('the', 'DT'), ('plant', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('using', 'VBG'), ('that', 'IN'), ('technology', 'NN'), ('.', '.')]
